date,value
# Central Bank Net Gold Purchases — trailing 4-quarter sum (tonnes/yr)
# Source: https://www.gold.org/goldhub/data/gold-demand-by-country
# Original data is cumulative YTD; converted to per-quarter then rolling 4Q sum
# 2015 quarterly split estimated (annual total ≈ 576t)
2015-12-31,576
2016-03-31,541
2016-06-30,473
2016-09-30,474
2016-12-31,390
2017-03-31,392
2017-06-30,373
2017-09-30,335
2017-12-31,375
2018-03-31,380
2018-06-30,400
2018-09-30,541
2018-12-31,656
2019-03-31,685
2019-06-30,837
2019-09-30,762
2019-12-31,650
2020-03-31,596
2020-06-30,418
2020-09-30,323
2020-12-31,255
2021-03-31,259
2021-06-30,312
2021-09-30,305
2021-12-31,463
2022-03-31,452
2022-06-30,444
2022-09-30,592
2022-12-31,1082
2023-03-31,1226
2023-06-30,1289
2023-09-30,1207
2023-12-31,1037
2024-03-31,1099
2024-06-30,1133
2024-09-30,1207
2024-12-31,1045
2025-03-31,999
2025-06-30,1062
2025-09-30,1101
2025-12-31,1000
