date,value
2022-01-01,1.0
2022-02-01,1.0
2022-03-01,1.5
2022-04-01,2.2
2022-05-01,2.1
2022-06-01,2.5
2022-07-01,2.7
2022-08-01,2.5
2022-09-01,2.8
2022-10-01,2.2
2022-11-01,1.6
2022-12-01,1.8
2023-01-01,2.1
2023-02-01,1.0
2023-03-01,0.7
2023-04-01,0.1
2023-05-01,0.2
2023-06-01,0.0
2023-07-01,-0.3
2023-08-01,0.1
2023-09-01,0.0
2023-10-01,-0.2
2023-11-01,-0.5
2023-12-01,-0.3
2024-01-01,-0.9
2024-02-01,0.7
2024-03-01,0.1
2024-04-01,0.2
2024-05-01,0.3
2024-06-01,0.2
2024-07-01,0.5
2024-08-01,0.6
2024-09-01,0.4
2024-10-01,0.3
2024-11-01,0.2
2024-12-01,0.1
2025-01-01,0.5
2025-02-01,-0.8
2025-03-01,-0.1
2025-04-01,-0.1
2025-05-01,-0.2
2025-06-01,-0.4
2025-07-01,-0.3
2025-08-01,0.1
2025-09-01,0.0
2025-10-01,-0.3
2025-11-01,-0.4
2025-12-01,-0.1
2026-01-01,0.7
