date,value
2015-03-31,55.8
2015-06-30,99.5
2015-09-30,63.2
2015-12-31,74.0
2016-03-31,57.4
2016-06-30,60.1
2016-09-30,63.8
2016-12-31,65.2
2017-03-31,67.5
2017-06-30,68.9
2017-09-30,72.1
2017-12-31,70.8
2018-03-31,65.3
2018-06-30,53.7
2018-09-30,48.2
2018-12-31,45.5
2019-03-31,54.8
2019-06-30,55.6
2019-09-30,54.1
2019-12-31,59.6
2020-03-31,56.8
2020-06-30,67.2
2020-09-30,72.5
2020-12-31,83.2
2021-03-31,80.5
2021-06-30,82.1
2021-09-30,76.3
2021-12-31,78.5
2022-03-31,68.2
2022-06-30,72.6
2022-09-30,60.8
2022-12-31,62.1
2023-03-31,67.4
2023-06-30,65.2
2023-09-30,62.8
2023-12-31,61.5
2024-03-31,60.1
2024-06-30,58.5
2024-09-30,63.7
2024-12-31,66.8
2025-03-31,69.2
2025-06-30,72.5
2025-09-30,70.8
2025-12-31,71.3
