date,value
# China Retail Sales Year-over-Year growth (%, monthly)
# Source: https://data.stats.gov.cn or https://tradingeconomics.com/china/retail-sales-annual
# Paste monthly values below (date = last day of the month)
2021-01-31,4.6
2021-02-28,33.8
2021-03-31,34.2
2021-04-30,17.7
2021-05-31,12.4
2021-06-30,12.1
2021-07-31,8.5
2021-08-31,2.5
2021-09-30,4.4
2021-10-31,4.9
2021-11-30,3.9
2021-12-31,1.7
2022-01-31,6.7
2022-02-28,6.7
2022-03-31,-3.5
2022-04-30,-11.1
2022-05-31,-6.7
2022-06-30,3.1
2022-07-31,2.7
2022-08-31,5.4
2022-09-30,2.5
2022-10-31,-0.5
2022-11-30,-5.9
2022-12-31,-1.8
2023-01-31,6.7
2023-02-28,6.7
2023-03-31,10.6
2023-04-30,18.4
2023-05-31,12.7
2023-06-30,3.1
2023-07-31,2.5
2023-08-31,4.6
2023-09-30,5.5
2023-10-31,7.6
2023-11-30,10.1
2023-12-31,7.4
2024-01-31,7.4
2024-02-29,5.5
2024-03-31,3.1
2024-04-30,2.3
2024-05-31,3.7
2024-06-30,2.0
2024-07-31,2.7
2024-08-31,2.1
2024-09-30,3.2
2024-10-31,4.8
2024-11-30,3.0
2024-12-31,3.7
2025-01-31,4.0
2025-02-28,4.0
2025-03-31,5.9
2025-04-30,5.1
2025-05-31,4.9
2025-06-30,3.7
2025-07-31,2.7
2025-08-31,4.6
2025-09-30,3.2
2025-10-31,4.8
2025-11-30,3.0
2025-12-31,3.7
