date,value
2015-01-31,3.49
2015-02-28,3.41
2015-03-31,3.52
2015-04-30,3.40
2015-05-31,3.44
2015-06-30,3.59
2015-07-31,3.48
2015-08-31,3.32
2015-09-30,3.15
2015-10-31,2.99
2015-11-30,3.02
2015-12-31,2.82
2016-01-31,2.74
2016-02-29,2.86
2016-03-31,2.84
2016-04-30,2.91
2016-05-31,2.95
2016-06-30,2.84
2016-07-31,2.78
2016-08-31,2.64
2016-09-30,2.74
2016-10-31,2.71
2016-11-30,2.87
2016-12-31,3.05
2017-01-31,3.29
2017-02-28,3.36
2017-03-31,3.28
2017-04-30,3.49
2017-05-31,3.59
2017-06-30,3.57
2017-07-31,3.58
2017-08-31,3.60
2017-09-30,3.61
2017-10-31,3.83
2017-11-30,3.92
2017-12-31,3.88
2018-01-31,3.92
2018-02-28,3.84
2018-03-31,3.74
2018-04-30,3.64
2018-05-31,3.63
2018-06-30,3.48
2018-07-31,3.52
2018-08-31,3.48
2018-09-30,3.48
2018-10-31,3.52
2018-11-30,3.37
2018-12-31,3.23
2019-01-31,3.15
2019-02-28,3.17
2019-03-31,3.07
2019-04-30,3.38
2019-05-31,3.27
2019-06-30,3.19
2019-07-31,3.16
2019-08-31,3.05
2019-09-30,3.14
2019-10-31,3.24
2019-11-30,3.19
2019-12-31,3.14
2020-01-31,2.99
2020-02-29,2.74
2020-03-31,2.63
2020-04-30,2.51
2020-05-31,2.67
2020-06-30,2.85
2020-07-31,2.96
2020-08-31,3.06
2020-09-30,3.15
2020-10-31,3.19
2020-11-30,3.26
2020-12-31,3.14
2021-01-31,3.18
2021-02-28,3.28
2021-03-31,3.19
2021-04-30,3.17
2021-05-31,3.07
2021-06-30,3.08
2021-07-31,2.85
2021-08-31,2.86
2021-09-30,2.88
2021-10-31,2.94
2021-11-30,2.85
2021-12-31,2.78
2022-01-31,2.70
2022-02-28,2.78
2022-03-31,2.79
2022-04-30,2.84
2022-05-31,2.75
2022-06-30,2.82
2022-07-31,2.76
2022-08-31,2.64
2022-09-30,2.76
2022-10-31,2.64
2022-11-30,2.84
2022-12-31,2.84
2023-01-31,2.93
2023-02-28,2.91
2023-03-31,2.86
2023-04-30,2.79
2023-05-31,2.71
2023-06-30,2.64
2023-07-31,2.65
2023-08-31,2.56
2023-09-30,2.68
2023-10-31,2.69
2023-11-30,2.68
2023-12-31,2.56
2024-01-31,2.44
2024-02-29,2.38
2024-03-31,2.29
2024-04-30,2.30
2024-05-31,2.31
2024-06-30,2.21
2024-07-31,2.16
2024-08-31,2.17
2024-09-30,2.15
2024-10-31,2.15
2024-11-30,2.05
2024-12-31,1.68
2025-01-31,1.64
2025-02-28,1.70
2025-03-31,1.81
2025-04-30,1.65
2025-05-31,1.67
2025-06-30,1.70
2025-07-31,1.65
2025-08-31,1.60
2025-09-30,1.63
2025-10-31,1.61
2025-11-30,1.72
2025-12-31,1.68
2026-01-31,1.63
