date,value
2021-01-31,214
2021-02-28,181
2021-03-31,155
2021-04-30,155
2021-05-31,146
2021-06-30,160
2021-07-31,154
2021-08-31,154
2021-09-30,140
2021-10-31,138
2021-11-30,140
2021-12-31,125
2022-01-31,92
2022-02-28,85
2022-03-31,44
2022-04-30,-5
2022-05-31,-15
2022-06-30,-17
2022-07-31,-4
2022-08-31,-52
2022-09-30,-108
2022-10-31,-143
2022-11-30,-85
2022-12-31,-104
2023-01-31,-57
2023-02-28,-2
2023-03-31,-61
2023-04-30,-68
2023-05-31,-84
2023-06-30,-122
2023-07-31,-129
2023-08-31,-172
2023-09-30,-90
2023-10-31,-122
2023-11-30,-77
2023-12-31,-232
2024-01-31,-160
2024-02-29,-87
2024-03-31,-93
2024-04-30,-132
2024-05-31,-120
2024-06-30,-112
2024-07-31,-105
2024-08-31,-67
2024-09-30,-62
2024-10-31,-117
2024-11-30,-127
2024-12-31,-189
2025-01-31,-194
2025-02-28,-162
2025-03-31,-143
2025-04-30,-168
2025-05-31,-100
2025-06-30,-155
2025-07-31,-165
2025-08-31,-165
2025-09-30,-154
2025-10-31,-162
2025-11-30,-150
2025-12-31,-189
2026-01-31,-197
