date,value
2015-01-31,53.5
2015-02-28,52.9
2015-03-31,51.5
2015-04-30,51.5
2015-05-31,52.8
2015-06-30,53.5
2015-07-31,52.7
2015-08-31,51.1
2015-09-30,50.2
2015-10-31,50.1
2015-11-30,48.6
2015-12-31,48.0
2016-01-31,48.2
2016-02-29,49.5
2016-03-31,51.8
2016-04-30,50.8
2016-05-31,51.3
2016-06-30,53.2
2016-07-31,52.6
2016-08-31,49.4
2016-09-30,51.5
2016-10-31,51.9
2016-11-30,53.2
2016-12-31,54.7
2017-01-31,56.0
2017-02-28,57.7
2017-03-31,57.2
2017-04-30,54.8
2017-05-31,54.9
2017-06-30,57.8
2017-07-31,56.3
2017-08-31,58.8
2017-09-30,60.8
2017-10-31,58.7
2017-11-30,58.2
2017-12-31,59.7
2018-01-31,59.1
2018-02-28,60.8
2018-03-31,59.3
2018-04-30,57.3
2018-05-31,58.7
2018-06-30,60.2
2018-07-31,58.1
2018-08-31,61.3
2018-09-30,59.8
2018-10-31,57.7
2018-11-30,59.3
2018-12-31,54.3
2019-01-31,56.6
2019-02-28,54.2
2019-03-31,55.3
2019-04-30,52.8
2019-05-31,52.1
2019-06-30,51.7
2019-07-31,51.2
2019-08-31,49.1
2019-09-30,47.8
2019-10-31,48.3
2019-11-30,48.1
2019-12-31,47.2
2020-01-31,50.9
2020-02-29,50.1
2020-03-31,49.1
2020-04-30,41.5
2020-05-31,43.1
2020-06-30,52.6
2020-07-31,54.2
2020-08-31,56.0
2020-09-30,55.4
2020-10-31,59.3
2020-11-30,57.5
2020-12-31,60.7
2021-01-31,58.7
2021-02-28,60.8
2021-03-31,64.7
2021-04-30,60.7
2021-05-31,61.2
2021-06-30,60.6
2021-07-31,59.5
2021-08-31,59.9
2021-09-30,61.1
2021-10-31,60.8
2021-11-30,61.1
2021-12-31,58.8
2022-01-31,57.6
2022-02-28,58.6
2022-03-31,57.1
2022-04-30,55.4
2022-05-31,56.1
2022-06-30,53.0
2022-07-31,52.8
2022-08-31,52.8
2022-09-30,50.9
2022-10-31,50.2
2022-11-30,49.0
2022-12-31,48.4
2023-01-31,47.4
2023-02-28,47.7
2023-03-31,46.3
2023-04-30,47.1
2023-05-31,46.9
2023-06-30,46.0
2023-07-31,46.4
2023-08-31,47.6
2023-09-30,49.0
2023-10-31,46.7
2023-11-30,46.7
2023-12-31,47.4
2024-01-31,49.1
2024-02-29,47.8
2024-03-31,50.3
2024-04-30,49.2
2024-05-31,48.7
2024-06-30,48.5
2024-07-31,46.8
2024-08-31,47.2
2024-09-30,47.2
2024-10-31,46.5
2024-11-30,48.4
2024-12-31,49.3
2025-01-31,50.9
2025-02-28,50.3
2025-03-31,49.0
2025-04-30,48.7
2025-05-31,48.7
2025-06-30,48.5
2025-07-31,49.4
2025-08-31,47.2
2025-09-30,47.2
2025-10-31,48.5
2025-11-30,48.4
2025-12-31,49.3
2026-01-31,50.9
