date,value
# USD Share of Global FX Reserves (%, quarterly)
# Source: https://data.imf.org/regular.aspx?key=41175 (IMF COFER)
# Paste quarterly values below (date = last day of quarter)
2010-03-31,61.7
2010-06-30,62.1
2010-09-30,61.4
2010-12-31,61.8
2011-03-31,60.7
2011-06-30,60.3
2011-09-30,61.3
2011-12-31,62.3
2012-03-31,62.1
2012-06-30,61.3
2012-09-30,61.4
2012-12-31,61.2
2013-03-31,61.2
2013-06-30,61.0
2013-09-30,61.4
2013-12-31,61.2
2014-03-31,60.9
2014-06-30,60.7
2014-09-30,61.4
2014-12-31,62.9
2015-03-31,63.7
2015-06-30,63.7
2015-09-30,64.0
2015-12-31,65.7
2016-03-31,65.0
2016-06-30,65.2
2016-09-30,64.0
2016-12-31,65.4
2017-03-31,65.1
2017-06-30,64.3
2017-09-30,63.5
2017-12-31,62.7
2018-03-31,62.5
2018-06-30,62.4
2018-09-30,61.9
2018-12-31,61.7
2019-03-31,61.8
2019-06-30,61.6
2019-09-30,61.8
2019-12-31,60.9
2020-03-31,61.9
2020-06-30,61.3
2020-09-30,60.5
2020-12-31,59.0
2021-03-31,59.5
2021-06-30,59.2
2021-09-30,59.2
2021-12-31,58.8
2022-03-31,58.9
2022-06-30,59.5
2022-09-30,59.8
2022-12-31,58.4
2023-03-31,59.0
2023-06-30,58.9
2023-09-30,59.2
2023-12-31,58.4
2024-03-31,58.9
2024-06-30,58.2
2024-09-30,57.4
2024-12-31,57.8
2025-03-31,57.3
2025-06-30,57.0
2025-09-30,56.7
2025-12-31,56.3
